Time,ms_error,force_desired,force_event,force_weiss,force_robot,force_weiss2,delta_z,force_AR_desired,force_AR_applied
1629459282.2385664,0.0,0.0,-0.0,0.0,-2.6190428733825684,0.014999999664723873,0.5892270374684159,0.0,0.0
1629459282.2594635,0.0,0.0,-0.0,0.0,-2.6190428733825684,0.23100000619888306,0.5892270374684159,0.0,0.0
1629459282.3024526,0.0,0.0,-0.0,0.0,-2.60845685005188,0.26100000739097595,0.5892270374684159,0.0,0.0
1629459282.346308,0.0,0.0,-0.0,0.0,-2.611158847808838,0.2150000035762787,0.5892270374684159,0.0,0.0
1629459282.390325,0.0,0.0,-0.0,0.0,-2.614351511001587,0.18400000035762787,0.5892270374684159,0.0,0.0
1629459282.4345088,0.0,0.0,-0.0,0.0,-2.605778455734253,0.006000000052154064,0.5892270374684159,0.0,0.0
1629459282.482625,0.0,0.0,-0.0,0.0,-2.6096854209899902,-0.652999997138977,0.5892270374684159,0.0,0.0
1629459282.4984705,0.0,0.0,-0.0,0.0,-2.6096854209899902,-0.5360000133514404,0.5892270374684159,0.0,0.0
1629459282.5382867,0.0,0.0,-0.0,0.0,-2.60335111618042,0.15700000524520874,0.5892270374684159,0.0,0.0
1629459282.5825183,0.0,0.0,-0.0,0.0,-2.6018693447113037,0.29100000858306885,0.5892270374684159,0.0,0.0
1629459282.626365,0.0,0.0,-0.0,0.0,-2.629387855529785,0.35899999737739563,0.5892270374684159,0.0,0.0
1629459282.6705954,0.0,0.0,-0.0,0.0,-2.6179041862487793,0.3400000035762787,0.5892270374684159,0.0,0.0
1629459282.7145448,0.0,0.0,-0.0,0.0,-2.6118154525756836,0.07500000298023224,0.5892270374684159,0.0,0.0
1629459282.7351336,0.0,0.0,-0.0,0.0,-2.6175777912139893,-0.29600000381469727,0.5892270374684159,0.0,0.0
1629459282.785659,0.0,0.0,-0.0,0.0,-2.6037919521331787,-0.6420000195503235,0.5892270374684159,0.0,0.0
1629459282.822502,0.0,0.0,-0.0,0.0,-2.6095333099365234,0.12800000607967377,0.5892270374684159,0.0,0.0
1629459282.8663807,0.0,0.0,-0.0,0.0,-2.601862668991089,0.36899998784065247,0.5892270374684159,0.0,0.0
1629459282.9104624,0.0,0.0,-0.0,0.0,-2.603125810623169,0.31200000643730164,0.5892270374684159,0.0,0.0
1629459282.954403,0.0,0.0,-0.0,0.0,-2.607002019882202,0.2639999985694885,0.5892270374684159,0.0,0.0
1629459282.9743786,0.0,0.0,-0.0,0.0,-2.5966439247131348,0.26499998569488525,0.5892270374684159,0.0,0.0
1629459283.0145118,0.0,0.0,-0.0,0.0,-2.606489419937134,0.003000000026077032,0.5892270374684159,0.0,0.0
1629459283.063498,0.0,0.0,-0.0,0.0,-2.6033921241760254,-1.1100000143051147,0.5892270374684159,0.0,0.0
1629459283.1065176,0.0,0.0,-0.0,0.0,-2.603597402572632,-0.8119999766349792,0.5892270374684159,0.0,0.0
1629459283.150472,0.0,0.0,-0.0,0.0,-2.606642723083496,0.22599999606609344,0.5892270374684159,0.0,0.0
1629459283.1504903,0.0,0.0,-0.0,0.0,-2.606642723083496,0.22599999606609344,0.5892270374684159,0.0,0.0
1629459283.1945496,0.0,0.0,-0.0,0.0,-2.605586290359497,0.3100000023841858,0.5892270374684159,0.0,0.0
1629459283.211839,0.0,0.0,-0.0,0.0,-2.605586290359497,0.296999990940094,0.5892270374684159,0.0,0.0
1629459283.2585363,0.0,0.0,-0.0,0.0,-2.5902414321899414,0.3580000102519989,0.5892270374684159,0.0,0.0
1629459283.302446,0.0,0.0,-0.0,0.0,-2.601482629776001,0.12800000607967377,0.5892270374684159,0.0,0.0
1629459283.3464315,0.0,0.0,-0.0,0.0,-2.604179859161377,-0.5460000038146973,0.5892270374684159,0.0,0.0
1629459283.3918314,0.0,0.0,-0.0,0.0,-2.613919258117676,-0.057999998331069946,0.5892270374684159,0.0,0.0
1629459283.4345493,0.0,0.0,-0.0,0.0,-2.595980644226074,0.32600000500679016,0.5892270374684159,0.0,0.0
1629459283.4527802,0.0,0.0,-0.0,0.0,-2.595980644226074,0.3100000023841858,0.5892270374684159,0.0,0.0
1629459283.4904716,0.0,0.0,-0.0,0.0,-2.6004490852355957,0.2460000067949295,0.5892270374684159,0.0,0.0
1629459283.5344932,0.0,0.0,-0.0,0.0,-2.599072217941284,0.24400000274181366,0.5892270374684159,0.0,0.0
1629459283.5785875,0.0,0.0,-0.0,0.0,-2.616678237915039,0.23600000143051147,0.5892270374684159,0.0,0.0
1629459283.622588,0.0,0.0,-0.0,0.0,-2.6118085384368896,-0.4339999854564667,0.5892270374684159,0.0,0.0
1629459283.6226423,0.0,0.0,-0.0,0.0,-2.6118085384368896,-0.4339999854564667,0.5892270374684159,0.0,0.0
1629459283.6705008,0.0,0.0,-0.0,0.0,-2.5988337993621826,-0.12099999934434891,0.5892270374684159,0.0,0.0
1629459283.687292,0.0,0.0,-0.0,0.0,-2.5988337993621826,0.05299999937415123,0.5892270374684159,0.0,0.0
1629459283.7304623,0.0,0.0,-0.0,0.0,-2.5875980854034424,0.19200000166893005,0.5892270374684159,0.0,0.0
1629459283.7804735,0.0,0.0,-0.0,0.0,-2.6056203842163086,0.2809999883174896,0.5892270374684159,0.0,0.0
1629459283.818338,0.0,-0.21987532079219818,-0.0,0.0,-2.5950870513916016,0.33899998664855957,0.5892270374684159,0.0,0.0
1629459283.8630333,0.006000000052154064,-0.8773326277732849,-0.0,0.0,-2.604750394821167,0.1509999930858612,0.5892270374684159,0.0,0.0
1629459283.863066,0.006000000052154064,-0.8773326277732849,-0.0,0.0,-2.604750394821167,0.1509999930858612,0.5892270374684159,0.0,0.0
