,Time,robot_force,event_distance,deltax,weiss_z_force,radpose
0,1626252384.42644,-0.297900676727295,66.71189117431639,0.5783934123172599,1.208,0.001
1,1626252387.02196,0.365102559328079,70.946891784668,0.577378674879542,0.6409999999999999,0.002
2,1626252389.61995,0.8269864320755009,74.420036315918,0.576387187308092,0.068,0.003
3,1626252392.21185,1.43143308162689,76.0080032348633,0.575414549224014,-0.505,0.004
4,1626252394.80582,2.20962357521057,79.54249572753909,0.5743771943730961,-0.981,0.005
5,1626252397.39998,3.1259098052978502,82.11695861816409,0.5733844478126751,-1.905,0.006
6,1626252400.00066,4.20298290252686,84.56573486328129,0.572394192017364,-2.6860000000000004,0.006999999999999999
7,1626252402.6015902,5.65581464767456,85.22589111328129,0.571383854918977,-3.79,0.008
8,1626252405.19252,7.25235557556152,86.69757080078121,0.570387340467318,-5.287999999999999,0.009000000000000001
9,1626252407.78969,9.24297618865967,88.3356781005859,0.569395854016888,-7.275,0.01
10,1626252410.3795,11.776343345642099,89.8665313720703,0.568379233898437,-9.741,0.011000000000000001
11,1626252411.38357,11.3169717788696,90.24462890625,0.568369005035996,-10.076,0.012
12,1626252413.97979,6.31280660629272,87.62109375,0.5693433760586141,-6.614,0.001
13,1626252416.57072,3.4730787277221697,87.2060699462891,0.5703417671406861,-5.3,0.002
14,1626252419.16516,1.7778618335723897,85.3312301635742,0.5713357662002679,-3.0580000000000003,0.003
15,1626252421.76347,0.5569621324539179,84.0033721923828,0.572348614730676,-2.678,0.004
16,1626252424.36421,-0.22886553406715401,82.4385299682617,0.573338214243331,-1.025,0.005
17,1626252426.96077,-1.15931105613709,81.162483215332,0.574332213060817,-1.1840000000000002,0.006
18,1626252429.55791,-1.7523708343505902,78.5823211669922,0.5753450623011279,0.054000000000000006,0.006999999999999999
19,1626252432.15744,-2.19372320175171,74.4249572753906,0.5763365481151049,0.174,0.008
20,1626252434.7492301,-2.50151538848877,69.95001220703129,0.577330547369126,1.1159999999999999,0.009000000000000001
21,1626252437.34307,-3.0281314849853502,66.1185150146484,0.5783452853538149,1.091,0.01
22,1626252439.93501,-3.4584734439849902,66.1700897216797,0.5793405413232879,1.7009999999999998,0.011000000000000001
23,1626252440.93907,-3.1615240573883097,66.0020904541016,0.579372135143384,1.706,0.012
24,1626252443.53425,-1.1526713371276898,66.75494384765629,0.57839904673266,1.337,0.001
25,1626252446.12801,-0.04764430969953501,70.8372497558594,0.577383682626561,0.855,0.002
26,1626252448.72003,0.5787389874458311,74.5974578857422,0.576389684724525,0.332,0.003
27,1626252451.31285,1.2296538352966297,75.9954071044922,0.5753950555438211,-0.147,0.004
28,1626252453.90902,1.95738399028778,79.2722473144531,0.57440166101251,-0.7959999999999999,0.005
29,1626252456.50577,2.7518765926361097,81.9909133911133,0.5733888108799621,-1.666,0.006
30,1626252459.10092,3.9450421333313,84.1893997192383,0.5723960671163579,-2.76,0.006999999999999999
31,1626252461.6967099,5.2282004356384295,85.2338104248047,0.571382586993439,-3.772,0.008
32,1626252464.28868,6.76097774505615,86.6837158203125,0.57038795777118,-5.102,0.009000000000000001
33,1626252466.88489,9.05033683776856,88.33468627929692,0.5693952137648679,-6.961,0.01
34,1626252469.47982,11.635401725769,89.9084854125977,0.568380478212795,-9.365,0.011000000000000001
35,1626252470.4807198,11.247693061828599,90.2571640014648,0.568368990648319,-9.355,0.012
36,1626252473.0746,6.35081577301025,87.6390762329102,0.569344590579627,-6.66,0.001
37,1626252475.66469,3.63762140274048,87.5815658569336,0.570341102895553,-4.485,0.002
38,1626252478.26251,1.83605432510376,85.1556625366211,0.571353949690281,-3.072,0.003
39,1626252480.85249,0.643266022205353,84.1714248657227,0.5723485753056979,-1.7069999999999999,0.004
40,1626252483.44732,-0.3735940456390379,82.36956787109371,0.573343198753452,-1.052,0.005
41,1626252486.0422802,-1.1147711277008099,80.7626419067383,0.5743579262363311,-0.379,0.006
42,1626252488.63363,-1.7154756784439098,78.5484161376953,0.5753557210801871,0.233,0.006999999999999999
43,1626252491.23023,-2.17462182044983,74.3441848754883,0.576347833993663,0.47700000000000004,0.008
44,1626252493.82232,-2.58196616172791,70.24453735351561,0.5773430891565339,1.037,0.009000000000000001
45,1626252496.41921,-3.0912849903106703,66.23529052734371,0.578356568646923,1.575,0.01
46,1626252499.02198,-3.45629096031189,66.1689453125,0.579344910518594,1.857,0.011000000000000001
47,1626252500.02808,-3.16217041015625,66.29727172851561,0.579372106112569,1.784,0.012
48,1626252502.62412,-1.09390604496002,66.5501327514648,0.578397132574002,1.4880000000000002,0.001
49,1626252505.21808,-0.094217568635941,71.023551940918,0.577403136787181,0.878,0.002
50,1626252507.8095698,0.493227481842041,74.60032653808591,0.576386514116954,0.39899999999999997,0.003
51,1626252510.4011,1.09823369979858,76.3331680297852,0.575392513224948,-0.091,0.004
52,1626252512.99211,1.8730583190918002,79.2824325561523,0.574399141320422,-0.738,0.005
53,1626252515.58781,2.8690881729126,82.0309753417969,0.5733844059805779,-1.4240000000000002,0.006
54,1626252518.17999,3.91500473022461,84.3230285644531,0.572391661832055,-2.609,0.006999999999999999
55,1626252520.7759,5.14626121520996,85.0528945922852,0.571398304448906,-3.6830000000000003,0.008
56,1626252523.37622,6.79494047164917,86.6462860107422,0.570382312111771,-5.018,0.009000000000000001
57,1626252525.9628,8.98586273193359,88.3356704711914,0.569387684390138,-6.987,0.01
58,1626252528.55366,11.474266052246099,89.95880126953129,0.568412532085103,-9.408,0.011000000000000001
59,1626252529.55582,11.175437927246099,89.9798126220703,0.568369000134453,-9.294,0.012
60,1626252532.14984,6.396594047546389,87.7298812866211,0.569354659213152,-6.622000000000001,0.001
61,1626252534.7404199,3.54356908798218,87.3192367553711,0.5703505432305269,-4.449,0.002
62,1626252537.3324802,1.8281445503234899,85.1363983154297,0.571344551113086,-2.99,0.003
63,1626252539.9315698,0.679150521755219,83.9235458374023,0.5723372795503311,-1.724,0.004
64,1626252542.52045,-0.343275636434555,82.5615921020508,0.573352012022913,-0.986,0.005
65,1626252545.1226301,-1.11759197711945,81.1099166870117,0.574344126081917,-0.275,0.006
66,1626252547.71239,-1.76398456096649,78.6817169189453,0.5753601174054929,0.327,0.006999999999999999
67,1626252550.3105,-2.2204582691192596,74.5530014038086,0.5763497174670881,0.785,0.008
68,1626252552.90525,-2.59491205215454,70.24884033203129,0.577343716449082,1.128,0.009000000000000001
69,1626252555.5017,-3.25804400444031,66.1635894775391,0.578359704776258,1.662,0.01
