Time,ms_error,force_desired,force_event,force_weiss,force_robot,force_weiss2,delta_z
1629894707.9386313,11.425000190734863,6.586165428161621,-0.0,0.0,-2.6018941402435303,1.023,0.5900414417758092
1629894707.960957,11.486000061035156,6.424282550811768,-0.0,0.0,-2.6018941402435303,1.036,0.5900414417758092
1629894708.0026052,11.567999839782715,6.134146690368652,-0.0,0.0,-2.587615966796875,0.929,0.5900414417758092
1629894708.0464592,11.616000175476074,5.910295486450195,-0.0,0.0,-2.5891976356506348,0.826,0.5900414417758092
1629894708.0906444,11.675999641418457,5.531085014343262,-0.0,0.0,-2.5822067260742188,0.89,0.5900414417758092
1629894708.1346798,11.722999572753906,5.102780342102051,-0.0,0.0,-2.573134660720825,0.917,0.5900414417758092
1629894708.134772,11.722999572753906,5.102780342102051,-0.0,0.0,-2.573134660720825,0.919,0.5900414417758092
1629894708.1786835,11.755999565124512,4.629183292388916,-0.0,0.0,-2.5639779567718506,0.968,0.5900414417758092
1629894708.194475,11.763999938964844,4.461967945098877,-0.0,0.0,-2.5639779567718506,1.006,0.5900414417758092
1629894708.2392447,11.779999732971191,3.9345836639404297,-0.0,0.0,-2.564350128173828,1.051,0.5900414417758092
1629894708.2826405,11.781999588012695,3.3722758293151855,-0.0,0.0,-2.56854510307312,0.95,0.5900414417758092
1629894708.330772,11.77400016784668,2.7800352573394775,-0.0,0.0,-2.5588881969451904,0.789,0.5900414417758092
1629894708.378727,11.748000144958496,1.9529377222061157,-0.0,0.0,-2.5710055828094482,0.822,0.5900414417758092
1629894708.4188256,11.730999946594238,1.5270026922225952,-0.0,0.0,-2.573359251022339,0.923,0.5900414417758092
1629894708.434734,11.711000442504883,1.095041275024414,-0.0,0.0,-2.5592055320739746,0.916,0.5900414417758092
1629894708.478447,11.6899995803833,0.6587581634521484,-0.0,0.0,-2.560356855392456,0.837,0.5900414417758092
1629894708.5226011,11.656000137329102,1.0287033032319818e-14,-0.0,0.0,-2.559800863265991,0.819,0.5900414417758092
