error,mode
1.2141622801050043,novibro
3.3591748728821234,novibro
1.0810416272729386,novibro
2.524542008966974,novibro
2.426666007999396,novibro
3.0316279030765827,novibro
2.828251746639293,novibro
1.326130780183955,novibro
1.7434276996160714,novibro
0.7628037842364424,novibro
1.824849758256647,novibro
3.463898215936474,novibro
1.416924149628733,novibro
2.524981487441146,novibro
3.2082702615804095,novibro
3.7925217011568426,novibro
2.003048099369461,novibro
1.4671257104831634,novibro
2.7785281711835284,novibro
1.4088806610263422,novibro
1.9052213207753783,novibro
3.3808355034934743,novibro
1.0322124260428194,novibro
2.332215658636409,novibro
3.064331640934095,novibro
4.0594454473977875,novibro
1.7873641129413704,novibro
2.4869321473346755,novibro
1.3296804288725022,novibro
1.6709914705487179,novibro
2.566350774145242,novibro
3.1946333635194626,novibro
2.2208878361935502,novibro
2.007202834446605,novibro
3.0395281683176796,novibro
3.595811504669935,novibro
1.1208712579249296,novibro
2.057348628569833,novibro
1.3822553131352568,novibro
1.637575442471177,novibro
1.6885537035592708,novibro
4.21921601897668,novibro
2.1382048952960377,novibro
2.3793879659885886,novibro
3.0620788403997996,novibro
3.018587097435846,novibro
2.1322575373331776,novibro
1.516528453251426,novibro
1.5008929239356035,novibro
1.3024594271126815,novibro
2.9125127253030443,novibro
3.456508660018105,novibro
2.5179232313820297,novibro
2.2499155068740055,novibro
2.813610642889956,novibro
3.1551980326872875,novibro
1.0633074308650607,novibro
1.62619379557209,novibro
1.5174851923363863,novibro
1.4267625161007544,novibro
2.3781938780421195,novibro
2.944189681344163,novibro
2.0380965732394705,novibro
2.3864333362487447,novibro
3.3818405398572957,novibro
3.2806813863898743,novibro
2.2506539019065173,novibro
1.2516302869782563,novibro
1.5212957147175366,novibro
1.2907067214191597,novibro
2.382391169440468,novibro
3.578702978639537,novibro
1.4444894289166228,novibro
1.798622225986551,novibro
2.8559503696436295,novibro
3.7605627226576313,novibro
1.2879546994846336,novibro
0.8420000709435284,novibro
1.555941097275187,novibro
1.3614840341592458,novibro
2.71417415653152,novibro
3.422044876179136,novibro
0.9365308710775948,novibro
2.42535547740598,novibro
3.444252997054724,novibro
3.671289195519427,novibro
2.0315520990716385,novibro
1.2711764646741868,novibro
2.670678776474595,novibro
1.4158501912994335,novibro
2.073024444194791,novibro
2.66760718281771,novibro
2.009263288694939,novibro
2.445050818214614,novibro
2.9024961748079416,novibro
4.397901208623049,novibro
2.9866937732073056,novibro
1.9954316052616738,novibro
2.2767078766778504,novibro
1.1941961609063134,novibro
1.8587478526916321,novibro
3.514290363151447,novibro
1.733988832617182,novibro
2.435152689157215,novibro
2.933589412871948,novibro
3.087661197140585,novibro
1.5203658577123378,novibro
2.595079116154304,novibro
1.5747720182367806,novibro
1.4406633182692499,novibro
1.626644011355193,novibro
2.2730295711876045,novibro
2.5910058076569875,novibro
2.345098108157366,novibro
3.193812094350019,novibro
2.7204051630994486,novibro
1.5094815474754266,novibro
