error,mode
2.5680888213343103,novibro
2.90857100463115,novibro
2.44255198715161,novibro
3.310544525869211,novibro
2.4076470459126473,novibro
3.5587901031711757,novibro
1.397129273618515,novibro
1.7272292888419425,novibro
1.6148723015230224,novibro
2.5573927572874915,novibro
1.5598517980055295,novibro
3.1862711043204697,novibro
2.1622143108542113,novibro
1.7231804136526794,novibro
1.8778910710848224,novibro
3.846630878646186,novibro
2.0185170921149296,novibro
2.046438634850726,novibro
1.6531324356300388,novibro
1.5312437617990793,novibro
1.9923391920607745,novibro
2.7058100628762616,novibro
2.556062101084085,novibro
2.342549298220716,novibro
3.243161086780352,novibro
3.359887616378607,novibro
2.5640564233122904,novibro
3.1424937797104877,novibro
1.5647392554227555,novibro
2.567036355121095,novibro
1.8262585954850663,novibro
2.53216770071552,novibro
2.606434568278245,novibro
3.3451038133030186,novibro
1.8233228785395423,novibro
2.6960235114232094,novibro
3.5565511679708135,novibro
1.3552182083490123,novibro
3.1105050672143775,novibro
1.0610303169080975,novibro
2.0681571887334522,novibro
2.0924498173227626,novibro
2.4723102290179026,novibro
2.1837143852959224,novibro
2.0302785521844307,novibro
2.93983563334488,novibro
2.5947231148526875,novibro
1.9477536203636168,novibro
1.3595428433685657,novibro
1.2428187935402362,novibro
1.394408815899156,novibro
2.5708979829720175,novibro
1.8241505584102238,novibro
2.5468009597526144,novibro
2.0814032160452474,novibro
3.0937209600865017,novibro
1.90193730882186,novibro
1.939837656212676,novibro
1.9503952016865493,novibro
1.2817669758056847,novibro
1.656337116319863,novibro
1.9989513904524938,novibro
2.5714356354776187,novibro
2.8568611496758427,novibro
2.1361239141674835,novibro
3.881396470381882,novibro
1.4648970728545574,novibro
1.7869860414243561,novibro
1.769746735386258,novibro
1.4685284752454957,novibro
1.7223964854034057,novibro
2.097727230298319,novibro
2.1347338717682134,novibro
2.875367316161831,novibro
2.0550461604516204,novibro
3.8004894818552506,novibro
2.297054196141432,novibro
1.90368101081467,novibro
1.7226037895884874,novibro
1.4247714931539817,novibro
1.3862675736163923,novibro
3.980613469893105,novibro
1.4625657299267625,novibro
2.4990414344838507,novibro
2.7487787729118085,novibro
2.8976547665936816,novibro
3.029920871743218,novibro
1.809761653834325,novibro
1.4164497283274928,novibro
2.3750968154820082,novibro
1.06631870592068,novibro
2.9140352069616937,novibro
3.9302677392451417,novibro
2.677087503187356,novibro
2.211934420063888,novibro
3.207281112101935,novibro
3.1774608861334603,novibro
1.6167412080092889,novibro
1.2232844858584309,novibro
2.0495870965235228,novibro
1.0990035914019924,novibro
2.294150680339521,novibro
1.8757797033195625,novibro
2.2902241729564006,novibro
2.15571715354959,novibro
3.543942471903156,novibro
2.030728654183043,novibro
4.621952881437678,novibro
1.4200525074588046,novibro
1.199748725288544,novibro
1.289488116009861,novibro
3.0138378895984435,novibro
1.1648882067441757,novibro
2.8803708700794104,novibro
2.49821483674757,novibro
3.3660461930933123,novibro
3.065021611731005,novibro
1.7516875617722387,novibro
1.409496938788803,novibro
1.5720942801727653,novibro
1.392020440074786,novibro
1.9232703423354582,novibro
1.005538418589603,novibro
2.8813496868217485,novibro
1.8692778461624442,novibro
2.8589230377471826,novibro
2.6486254246441048,novibro
2.3652861486729564,novibro
1.3901756251241428,novibro
1.7294227188581364,novibro
1.2941057494640573,novibro
2.183274842899814,novibro
1.151103566202466,novibro
1.9531190356024304,novibro
2.4767495201833607,novibro
2.7374135836477818,novibro
2.237645342602501,novibro
4.544519649759652,novibro
1.19250896196891,novibro
1.396382544687887,novibro
0.8024078929429701,novibro
2.4562843343016687,novibro
1.6916918255668767,novibro
2.355991158767715,novibro
1.9678182711909933,novibro
3.5493370991455593,novibro
2.060030135084366,novibro
1.8270483112646718,novibro
3.3286772606997714,novibro
1.2533680730325047,novibro
3.4932308686098494,vibro
2.90296726500066,vibro
1.8455255873951242,vibro
2.8458783124040337,vibro
1.841934698607533,vibro
3.175858457272883,vibro
4.56620559847211,vibro
2.038103679018414,vibro
2.405905873730312,vibro
2.8779606476840836,vibro
1.855423515640322,vibro
2.7964519582357443,vibro
1.0402356264096393,vibro
2.7636385781413435,vibro
2.008953140480747,vibro
3.210639956698099,vibro
2.540977660749178,vibro
1.4817295691437133,vibro
2.6397736818794524,vibro
3.5614650545241013,vibro
2.8371894478643194,vibro
3.1476537624249366,vibro
1.1311536315044495,vibro
2.95807151765892,vibro
2.644954335024907,vibro
3.304135742285905,vibro
1.1622777177354375,vibro
3.1281840187454755,vibro
2.4137472751271396,vibro
2.691386150982174,vibro
1.174074445181426,vibro
2.6959148479393553,vibro
1.280610973081692,vibro
2.433076872021283,vibro
2.252584923718245,vibro
3.762297232000892,vibro
2.0574051690336437,vibro
1.6195611567941697,vibro
1.5246779079586892,vibro
1.926540891589092,vibro
2.0666831482689703,vibro
2.587610695127067,vibro
1.3416566347475987,vibro
3.1401215631405077,vibro
2.2723860233040742,vibro
3.1940198147381396,vibro
2.067447415149935,vibro
2.6754998247574275,vibro
2.253713318167599,vibro
1.7311176964676307,vibro
2.1530967524631506,vibro
3.2343179507450466,vibro
1.344763892151787,vibro
2.771646923126617,vibro
2.0983953099922372,vibro
3.3682306296788687,vibro
2.173069382029834,vibro
2.187092928743882,vibro
2.385853146230504,vibro
1.674954591024371,vibro
2.4110290705843656,vibro
3.1251205777170004,vibro
2.6746029639104543,vibro
3.01146453875587,vibro
1.5823867253145094,vibro
3.4660699563337007,vibro
1.0553371471068167,vibro
2.04704700900758,vibro
3.176514877466567,vibro
1.3701408660987606,vibro
2.8746641277348295,vibro
3.1709302889278455,vibro
1.7496967447395493,vibro
3.254646229551318,vibro
1.5899549678494065,vibro
3.3125664783812345,vibro
1.6388328768264842,vibro
1.4024966638060077,vibro
2.326534735965527,vibro
1.562535843612714,vibro
2.1309327145058554,vibro
3.2599567436603505,vibro
1.5748584878990641,vibro
2.7834622358388184,vibro
2.901753558663899,vibro
3.5462458851965337,vibro
2.8201567243185917,vibro
2.675101319945067,vibro
1.0412848175285716,vibro
1.8454845054035067,vibro
2.323694920649683,vibro
2.7241679533620924,vibro
1.9072915845560636,vibro
2.188463086040256,vibro
2.0241222055424126,vibro
3.050660163719213,vibro
1.9260304227324792,vibro
1.7767242012442386,vibro
2.4084560173890575,vibro
1.649409985666984,vibro
2.3064318858690616,vibro
2.380455534787161,vibro
1.9373642072509856,vibro
2.8684933857351194,vibro
1.7662911018385496,vibro
3.8749905725558738,vibro
1.9669886895087614,vibro
2.5294803362282297,vibro
2.59373129782319,vibro
1.371680527313394,vibro
2.7737234671966404,vibro
2.606338263342382,vibro
1.2357865545683642,vibro
2.2079217944651037,vibro
1.8966661264916898,vibro
3.450294290438195,vibro
2.028092799764538,vibro
2.4444320854365604,vibro
2.2436908421457282,vibro
2.5561579726159875,vibro
1.9148377800603307,vibro
2.1396755701779027,vibro
1.3524672425889122,vibro
1.9031300290754976,vibro
1.9090446022842635,vibro
3.899511600058005,vibro
3.202542643998632,vibro
2.5954420263158915,vibro
3.46353378201831,vibro
2.936299100029607,vibro
1.9198888504732532,vibro
2.451198288943453,vibro
1.0309755440896569,vibro
2.9898906613793446,vibro
3.2738597311556346,vibro
3.4957980581043806,vibro
2.526268305105684,vibro
2.1262325562536213,vibro
2.5079811819396554,vibro
2.4380851169165902,vibro
1.7577028548719056,vibro
2.010035200947888,vibro
1.793774619233522,vibro
2.7096671629673255,vibro
2.1606171876553946,vibro
3.187702559382734,vibro
2.4914931678700594,vibro
2.1292292019189265,vibro
1.9079431203006738,vibro
2.105470314281606,vibro
